publisher,count
BehindWallStreet,18
Naufal Sanaullah,18
Charles Hugh Smith,17
richa28dhand@gmail.com,17
Angry Bear,17
Steve Patterson,17
Dave Dispennette,17
JC Parets,17
Allyson Brooks,17
jsq_njoptions,17
Alfidi Capital,17
John Butcofski,17
Parm Mann Trader,16
Stock Market Leaked Research,16
BullBearTrades,16
Andrew Zatlin,16
Zentrader,16
GilverBook,16
Investing Caffeine,16
Aaron Jackson.Ed,16
Timothy Monforton,16
Marc Courtenay,16
Dave Yelle,15
Ofir Eyal Bar,15
Mike Lingenheld,15
Chemistfrog,15
ClosingBell,15
Kenny Polcari,15
Dana Lyons,15
Green Technology Investments,15
Usman Rafi,15
Stock Tipper,15
Richard Cox,14
Ryan Dallavia,14
Robert Wolcott and Michael Lippitz,14
atbeaty,14
Larry Baer,14
Chris Kimble,14
SAT Waves Pro,14
Triple Pundit,14
Ben Deng,14
EmergingMarkets,14
Design Taxi,13
Inelegant Investor,13
Fred Mason,13
MarketScanners,13
David Smith,13
Young Guns Trading,13
ABNNewswire,13
John P. Gavin CFA,13
Anthony Viola,12
Stephen Vita,12
Cory Mitchell,12
Rob Wilson,12
Gene Balas,12
Joe Payne,12
Javier Hasse and Alex Oleinic,12
David Tumm,12
Nasdaq Chronicles,12
Wilson Faber,12
AntonRobb,12
Tobias Van Gils - Countach Research,12
Osher Deri,11
DividendYield,11
riddock57,11
Jack Williams,11
The Stock Trading Advisor,11
Momentum Options Trading,11
mary lou,11
Frank Zorrilla,11
Shaun C. Yu,11
Courtney Myers,11
Larry Doyle,11
David Russell - TradeStation,11
EidoSearch,11
Ross Drew,11
StockHouse,11
Giovani Ortiz,11
Pritesh Patel,11
Tom Blumer,11
Alex Shadunsky,11
PanXchange,11
Raghav Ravichander,10
Press Release,10
Rod David,10
Sean Emory,10
Othanas Economopoulos,10
Loren Morrison,10
Steve Sapletal,10
Darrell Martin,10
Graphiq,10
Todd Rosen,10
Mortimer Duke,10
Chuck Miller,10
Muhammad Bazil,10
Max Isaacman,9
Chris Ciaccia,9
Michael Snyder,9
Shawn Cruz,9
Andre Gratian,9
Jesse Felder,9
Jason Leavitt,9
Nomad Trader,9
Nomad Fund,9
Michele Schneider,9
AlphaClone,9
Brad Thomas,9
Reuben Jackson,9
Kayleigh Yerdon - DriveWealth,9
The Mad Hedge Fund Trader,9
James Altucher,9
Sami Karam,9
Ron Insana,9
Marcus Goncalves,9
wallstreet1928,8
Tom Watson,8
StockChick,8
Benzinga Events,8
Bo Wang,8
GeorgeManiere,8
The Daily Gold,8
Jelena Martinovic,8
Christopher Sappo,8
Rich Meiers,8
The Best Rates,8
Rachel Fox,8
Nick Pirraglia,8
Junnan Gao,8
Andy Djordjalian,8
Robert Irr,8
Ron Shields,8
Patrick Curtis - Wall Street Oasis,8
optionsXpress_,8
Scott McGovern,8
Jared Woodard,8
Leon Kuperman,8
Jason Napodano,8
Karen Starich,8
Forex Mansion,7
Michael Dalman,7
WikiTags,7
AARP,7
msp2nyc,7
Unknown,7
Gail Mercer TradersHelpDesk,7
Ron Wilson,7
Konstantinos Kamperoglou,7
Gretchen Wilmoth,7
TraderMinute,7
Paul Price,7
Timothy Anderson,7
Howard Lindzon,7
Alan Brochstein,7
Wale Edu,7
Hedge Fund Live,7
konraad,7
Bill Baruch,7
Catherine Ross,7
Nicole Dugan - DriveWealth,7
Margaret Brennan,7
Invest 2 Success,7
Matt Hogan,7
Johnny Stocks,7
Oil Price,7
Jesse Medina,7
LivingOffDividends,7
Robert Ciura,6
Alex Schiff,6
Charlie Strout,6
Karl Denninger,6
Daniel B. Kline,6
krishnabagra,6
Joel Fisher,6
The Fresh Toast,6
Kevin Light,6
Kurtis Hemmerling,6
JS Kim,6
Trey Robinson,6
Parkin Sunil Furia,6
Serge Berger,6
BrianSozzi,6
Neal Goyal,6
Annibale Marsili,6
Bryan Stanford,6
Benny Emerling,6
Chart-Caster,6
Jeff Siegel,6
davidfabian,6
TwoStockGuys,6
Bruce Krasting,6
Aswath Damodaran,6
Anthony Dadlani,6
Zahra Taneez,6
Investopedia,6
Guy Lerner,6
Zack Miller,6
Steve.W,6
Andre Bourque,6
William Hill,6
Drew Levine,6
DJ Borman,6
Robert A. Green,6
Anna Hicks,6
tradingwithwaves,5
Evan Medeiros,5
Aakin,5
David Alton Clark,5
BlindReason,5
See It Market,5
Daniel Wright,5
Neal Hamilton,5
Nick Marinoff,5
Mark Fidelman,5
Jordan Stone,5
ShaileshKumar,5
James Bartelloni,5
Chris Fromhertz,5
Yohay Elam,5
Sarah Paxton,5
Chris Carey - Sharesleuth,5
Ankitha Taranath,5
Stephen Mugo Weru,5
Tatro Capital,5
theoxengroup,5
douglascarey,5
Brett Phillips,5
Sankalp Soni,5
Thomas Rudy,5
Alpha7Trading,5
Barbara Friedberg,5
Stone Street Advisors,5
Options_Guru,5
Steve LeFante - AlphaSense,5
BreakingFinanceNews,5
Andy@andyswan.com,5
David Miller,5
Wax,5
marketHEIST,5
Credibly,5
Tom Meilleur,4
Gavin McMaster - Options Trading IQ,4
KomfieM,4
Adam Sarhan,4
NickDonato,4
Titan,4
seekinGold,4
Steven Orr,4
Nathan Gilson,4
NextBigTrade,4
Will Hubbard,4
Bo Belmer - Drivewealth,4
Joule Financial,4
Yieke,4
Trevor Turner,4
michaelfabian,4
Chris Vermeulen,4
Atish Davda,4
summers s,4
Mike Bernacchi,4
Elliott Wave,4
Last Financier,4
John Galt,4
Lido Isle Advisors,4
Chaim Siegel,4
Andrew Rosenbaum,4
Michael Kahn - Technician,4
Frank May,4
Kanak Kanti De,4
Mark Salerno,4
Scott Connor,4
ETF Base,4
HourlyNerd,4
VJ Yahoo,4
Larissa Lielacher,4
Carl Cachia,4
Druce Vertes,4
Dennis Dick,4
Reuben L Sushman,4
jacobwolinsky,4
William Spencer,4
Ryan Cole,4
Keith McCullough,4
Justin Jellis,4
Jenna Stanek,3
Saul Bowden,3
David Cass,3
Heather Romanowski,3
Gerson Santillana,3
David Malinowski,3
GlenWoods,3
Stephen Bigalow,3
Beni Hakak,3
TTT Hedge,3
shivdeep@benzinga.com,3
olatujer,3
FollowMyAlpha,3
Silvio Tavares,3
Maxime Croll,3
Benzinga Cannabis Contributors,3
newsdesk+benzingastaffwriter3@benzinga.com,3
Sha'Darian Corona-Green,3
Adam Gefvert,3
Scott Schneider,3
Steve Wambua,3
aefimoff@benzinga.com,3
Spencer James Lawrence,3
josieclarks,3
P. Luke LaVanway,3
karnacua2,3
BenzingaStaff2,3
Jessica Moore,3
Brent Douglas,3
hawaiiforex,3
Ian Kar,3
Steven Richmond,3
PacificTrader,3
Yoav Helfman,3
N.J. Beachum,3
Jeff Clark - Hard Assets Alliance,3
SpreadBetting.com,3
Wall Street Sector Selector,3
Zoey Parks,3
proconfidential,3
Chris Katje,3
Genius Trader,3
China Alternative Investments Group,3
Bernard Clay,3
Sameer Sahakari,3
Aurie Maine,3
Patentplays,3
fnmedia,3
William Capuzzi - Apex Clearing,3
Direxion Investments,3
Michael Angelopoulos,3
John Rothe,3
summerellie,3
Andy Brown,3
GlobalChartAnalysis,3
Andrew Geller,3
Connor Yee,3
Principle Analysis,3
Paul Sigrist,3
Foundation Investing,3
Shaun Bhagwan,3
SurlyTrader,3
Bret Jensen,2
John Balder,2
Mark Collins,2
jennifer25anthony@gmail.com,2
UrbanRyno,2
marketresearch,2
Niranjana Kannan,2
Dan Passarelli,2
Lennart Dobravsky,2
andrew@tothetick.com,2
Dual Income No Kids Finance,2
Jeff Nielson,2
Simply Pennies,2
Gold Investment,2
Steve Evans - MoneyGeek.com,2
GlobalCoinReport.com,2
WooTrader,2
Samuel J Rae,2
Molly St. Louis,2
Tom Busby,2
Jemstep,2
Joshua Rodriguez,2
Gino Bruno D'Alessio,2
HedgeCoVest,2
John Isige,2
StockMetrix,2
Jeff Macke,2
Ezra Marbach,2
gary,2
Anupam Varshney,2
Renu Zaretsky,2
ScottKloustin,2
Mike Paulenoff - MPTrader.com,2
Reena Cruz,2
Jeff Myers,2
kiana@investdiva.com,2
andrewbeghou@benzinga.com,2
Patrick Krause,2
IIJGII,2
Michael Shulman,2
Accointing,2
Devonte Kavanaugh,2
Tom Anderson,2
Villanova,2
Ben Reynolds,2
parvgoel,2
Rick Pearson,2
Viridian Capital Advisors,2
Lindsey Cogner,2
andrewhorowitz,2
Emily Elconin,2
Lakshmi Capital,2
Chip Ludgate,2
bwald,2
Marotta On Money,2
Andrew Aziz,2
LouisDematteis,2
Mike Kulej,2
JD Singh,2
Michael Cancella,2
Alex Ivanovs,2
Joe Sirianni,2
Chuck Stone,2
Zinger Nation,2
Brian Kline,2
Dr. Stoxx,2
Larry R. Bernstein,2
Wall St. Jesus,2
All Options On The Table with John Salters Jr.,2
Lise Feng,2
True Risk Labs,2
Logan Mohtashami,2
MBM Research,2
Melissa Brock,2
George Michaels,2
tsmartin,2
Brandon Vlaar,2
Vikram Rangala,2
TradingWins,2
The Echo Boom Bomb,2
Khyathi,2
Zac Mannes,2
Michael Davey,2
mattzinga,2
Interactive Buyside,2
Doron Levin,2
Ron Mark,2
Alfredlittle,2
Alexander Voigt,1
Fred Wilson,1
Union Square Ventures,1
Sumit Mehta,1
David Wenger,1
Holly Huber - CrowdStreet,1
Ryan Smith,1
vic@forextraininggroup.com,1
official@stockmetrix.net,1
Alpha Works,1
AnneMarieTrades,1
LRWray,1
TechniTrader,1
Paco Ahlgren,1
javierhasseandericterbush@benzinga.com,1
Nat,1
Gavin McMaster,1
dbratzke,1
Chris Freeman,1
StreetID,1
coindesk,1
FindTheBest,1
CME Group,1
Rachelle Gordon,1
White Diamond Research,1
Ticker Tank,1
Lerone Graham,1
Jim Pearce,1
Michael Prus,1
Mike Golembesky,1
TeleSourceCenter,1
Paul Dykewicz,1
Anthony Cibotti,1
DavidBDurandMD,1
Lydia Idem Finkley,1
David A. Moore,1
Terry Allen G,1
Keith Drevets,1
Elizabeeth Kalondu,1
elliottwave,1
CPL,1
Laura Jennings,1
Eric Martin,1
Jose Rodrigo,1
Growth Aces,1
Shazir Mucklai - Imperium Group,1
Brian Dolan,1
Happy Trading,1
MelissaBurns,1
Forexpros.com,1
SMB Training,1
Hasan Saleem,1
Vuru,1
The Professor,1
Mike Paulenoff,1
Allan Farley,1
Euro Pacific Capital,1
Alex Roslin,1
Economic Burn,1
joreal2479,1
Howie Bick,1
Bit Whisperer,1
KraneShares,1
Joe Donohue,1
Joseph Benjamin XIII,1
karlalant,1
catalystcorner,1
Joseph Trevisani,1
Quicken Loans,1
MyConstant Chris Roper,1
Michael Zanger,1
Michael Baer,1
Ashley Carter,1
OptionsWeekly,1
Etan Vlessing,1
The Kobeissi Letter,1
Bruno del Ama,1
dhiraj.surapaneni@benzinga.com,1
D.Mero,1
ValuePenguin,1
Mark Allen,1
Merry Jane,1
Patrick Vo,1
Kiana Danial,1
giovannimola,1
Varun Chavali,1
Andrew Moran,1
BobStewart,1
Austrolib,1
Francis Burr,1
BlueHill,1
Joel Morehouse,1
Monetarex,1
Suresh Gupta,1
Hedgeye Risk Management,1
Rodney Ohebsion,1
Anthony Valeri,1
WesternESA,1
gmaxxx,1
Omkar Godbole,1
Joe Donato,1
Sophie Reynolds,1
phil,1
mjintertrader,1
Evan Brandoff,1
Junnan Guo,1
Stock Market Newz,1
Miri Segal,1
CannabisFN,1
janaviktoria,1
Mani Mahadevan,1
StreetTalkLive,1
Ari Nazir,1
Bob Iaccino,1
MITECHNEWS,1
Daniel Bustamante,1
Scott Johnson,1
DoubleBlind Mag,1
Michael Miller - LA Weekly,1
Brad Slaughter,1
Jr Deputy Accountant,1
Call Levels,1
adam@eosdetroit.io,1
Mark Davis,1
Adam Weiner,1
Gary Anderson,1
Joe Williams,1
Bull Market Bear,1
Matthew Boesler,1
Justin Triplett,1
Steve Marks,1
Charlie Goodman,1
milesyoung,1
Scout Finance Editorial Team,1
Dave Kelly,1
Crowder Options,1
Jeremy Biberdorf,1
Brett's Stock Market Pulse,1
MoneyGeek,1
muathe,1
Robert Morris,1
LeftCoastHedgie,1
ProactiveInvestors,1
Frank Zorrila,1
Goatmug Blog,1
Christian Fromhertz,1
swenstock,1
BuyAndHoldPlus,1
cyrus21,1
Stan Blacker,1
pagetraffic,1
GeoInvesting,1
Tom Kee,1
Greg W. Harmon,1
TradingPub,1
Ethan Joseph,1
Matthew Ely,1
Frank Ochoa,1
Jeremie Capron,1
Marvin Dumont,1
Igor Gonta,1
